,category,name,price,rating,review_count
1144,German,Bavaria Haus,$$,4.0,129
1145,Mediterranean,Brasserie Azur,$$,3.5,179
1146,Salad,Sweet Tomatoes,$$,4.0,148
1147,Burgers,Rock That Burger,$,4.0,140
1148,Italian,Figata,$$,4.5,43
1149,Greek,Stoupsy's of Athens,$,4.0,119
1150,American (New),Barracuda Taphouse & Grill,$$,4.0,127
1151,American (Traditional),Mike's At Venetia,$$,3.5,197
1152,Southern,Crackers Casual Dining,$$,4.5,499
1153,Latin American,Luis Galindo's Latin American,$,4.0,93
1154,Burgers,Pincho Factory,$$,4.0,589
1155,Caribbean,Casabe 305 Bistro,$$,4.0,119
1156,Spanish,Bocaito Spanish Cuisine,$$,4.5,75
1157,Italian,Farfalle,$$,4.5,109
1158,Cuban,Ku-Va,$$,3.5,213
1159,Wine Bars,Happy Wine Calle Ocho,$$,4.0,80
1160,Bagels,Coral Bagels,$,3.5,234
1161,Coffee & Tea,Mister Block Cafe,$,4.0,117
1162,Sushi Bars,MYUMI,$$$,4.0,76
1163,Vietnamese,Phuc Yea,$$,3.5,270
1164,Juice Bars & Smoothies,Ken's Healthy Delights,$,4.5,65
1165,Thai,Doral Thai Restaurant,$$,4.0,144
1166,Sushi Bars,J Tokyo,$$,4.0,146
1167,Italian,Sapore Di Mare,$$,4.5,254
1168,Fast Food,La Colina Comidas Rapidas,$,4.5,73
1169,Mediterranean,AKI-E By Chef Willy,$$,4.5,42
1170,Argentine,Novecento,$$,3.5,285
1171,Italian,Figata,$$,4.5,43
1172,Thai,Sea Siam,$$,3.5,178
1173,German,Bavaria Haus,$$,4.0,129
1174,Greek,Stoupsy's of Athens,$,4.0,119
1175,Latin American,Bocas House- Doral,$$,4.0,1057
1176,French,Le Bouchon Du Grove,$$,4.0,418
1177,Breakfast & Brunch,Bayfront Cafe/Havana Lounge,$,4.0,114
1178,Burgers,Rock That Burger,$,4.0,140
1179,Salad,Sweet Tomatoes,$$,4.0,148
1180,Mediterranean,Brasserie Azur,$$,3.5,179
1181,Cuban,El Palacio de los Jugos,$,3.5,101
1182,Latin American,Carne Asada Tortilleria Nicas,$,4.0,73
1183,Asian Fusion,Taikin Asian Cuisine,$$,4.0,96
1184,Dim Sum,South Garden Chinese Restaurant,$$,3.5,167
1185,Thai,Lotus Garden,$$,4.0,116
1186,Chinese,Gourmet Gourmet,$$,4.0,104
1187,Chinese,Long Gong Restaurant,$$,4.5,44
1188,Italian,Tutto Pasta Ristorante,$$,4.0,120
1189,Seafood,Tarpon Bend,$$,3.5,394
1190,American (New),Palatino Jamaican Restaurant,$$,3.5,168
1191,Mexican,The Taco Stand,$$,4.5,53
1192,Mediterranean,Elia Gourmet,$$,4.0,125
1193,Cuban,Cilantros Cafeteria,$,4.5,71
1194,French,Chef Sucre Cafe,$$,4.5,68
1195,Chinese,China Express,$,4.0,94
1196,Burgers,BurgerFi,$$,4.0,223
1197,Latin American,El Novillo Restaurant,$$,3.5,146
1198,Peruvian,Divino Ceviche,$$,4.0,186
1199,Mexican,Tacology,$$,3.0,506
1200,Argentine,Novecento,$$,3.5,285
1201,Italian,Figata,$$,4.5,43
1202,Thai,Sea Siam,$$,3.5,178
1203,German,Bavaria Haus,$$,4.0,129
1204,Greek,Stoupsy's of Athens,$,4.0,119
1205,Latin American,Bocas House- Doral,$$,4.0,1057
1206,French,Le Bouchon Du Grove,$$,4.0,418
1207,Breakfast & Brunch,Bayfront Cafe/Havana Lounge,$,4.0,114
1208,Burgers,Rock That Burger,$,4.0,140
1209,Salad,Sweet Tomatoes,$$,4.0,148
1210,Mediterranean,Brasserie Azur,$$,3.5,179
1211,Cuban,El Palacio de los Jugos,$,3.5,101
1212,Latin American,Carne Asada Tortilleria Nicas,$,4.0,73
1213,Asian Fusion,Taikin Asian Cuisine,$$,4.0,96
1214,Dim Sum,South Garden Chinese Restaurant,$$,3.5,167
1215,Thai,Lotus Garden,$$,4.0,116
1216,Chinese,Gourmet Gourmet,$$,4.0,104
1217,Chinese,Long Gong Restaurant,$$,4.5,44
1218,Italian,Tutto Pasta Ristorante,$$,4.0,120
1219,Seafood,Tarpon Bend,$$,3.5,394
1220,American (New),Palatino Jamaican Restaurant,$$,3.5,168
1221,Mexican,The Taco Stand,$$,4.5,53
1222,Mediterranean,Elia Gourmet,$$,4.0,125
1223,Cuban,Cilantros Cafeteria,$,4.5,71
1224,French,Chef Sucre Cafe,$$,4.5,68
1225,Chinese,China Express,$,4.0,94
1226,Burgers,BurgerFi,$$,4.0,223
1227,Latin American,El Novillo Restaurant,$$,3.5,146
1228,Peruvian,Divino Ceviche,$$,4.0,186
1229,Mexican,Tacology,$$,3.0,506
1230,Cuban,Rincon Criollo Restaurant,$,4.0,96
1231,Pizza,Pizza Deli & Company,$$,4.0,93
1232,Cocktail Bars,Baby Jane,$$,4.0,142
1233,Spanish,Tasca De España,$$,3.5,175
1234,Steakhouses,Quinto La Huella,$$$,3.5,263
1235,Sandwiches,Chuck Wagon Restaurant,$,3.5,126
1236,Burgers,BurBowl,$,3.5,184
1237,Burgers,Taurus,$$,3.5,116
1238,Gastropubs,Tap79 Gastropub & Craft Beer Bar,$$,4.0,165
1239,American (New),Biscayne Tavern,$$,3.5,286
1240,Colombian,El Cielo by Juan Manuel Barrientos,$$$$,4.0,105
1241,Italian,La Nonna Italian Restaurant,$,4.0,106
1242,American (New),Mac & Chess,$$,4.5,74
1243,Pizza,Spris Artisan Pizza,$$,4.0,137
1244,Sandwiches,Best Sub & Sandwich Shop,$,4.5,71
1245,Vegetarian,Eden In Eden,$$,4.0,87
1246,Breweries,Titanic Brewery & Restaurant,$$,4.0,326
1247,Italian,Coppola's Ristorante Italiano,$$,4.5,77
1248,Thai,Bangkok Bangkok,$$,3.5,160
1249,Sports Bars,Duffy's Sports Grill,$$,3.5,195
1250,American (New),Palatino Jamaican Restaurant,$$,3.5,168
1251,Mexican,The Taco Stand,$$,4.5,53
1252,Mediterranean,Elia Gourmet,$$,4.0,125
1253,Cuban,Cilantros Cafeteria,$,4.5,71
1254,French,Chef Sucre Cafe,$$,4.5,68
1255,Chinese,China Express,$,4.0,94
1256,Burgers,BurgerFi,$$,4.0,223
1257,Latin American,El Novillo Restaurant,$$,3.5,146
1258,Peruvian,Divino Ceviche,$$,4.0,186
1259,Mexican,Tacology,$$,3.0,506
1260,Cuban,Rincon Criollo Restaurant,$,4.0,96
1261,Pizza,Pizza Deli & Company,$$,4.0,93
1262,Cocktail Bars,Baby Jane,$$,4.0,142
1263,Spanish,Tasca De España,$$,3.5,175
1264,Steakhouses,Quinto La Huella,$$$,3.5,263
1265,Sandwiches,Chuck Wagon Restaurant,$,3.5,126
1266,Burgers,BurBowl,$,3.5,184
1267,Burgers,Taurus,$$,3.5,116
1268,Gastropubs,Tap79 Gastropub & Craft Beer Bar,$$,4.0,165
1269,American (New),Biscayne Tavern,$$,3.5,286
1270,Colombian,El Cielo by Juan Manuel Barrientos,$$$$,4.0,105
1271,Italian,La Nonna Italian Restaurant,$,4.0,106
1272,American (New),Mac & Chess,$$,4.5,74
1273,Pizza,Spris Artisan Pizza,$$,4.0,137
1274,Sandwiches,Best Sub & Sandwich Shop,$,4.5,71
1275,Vegetarian,Eden In Eden,$$,4.0,87
1276,Breweries,Titanic Brewery & Restaurant,$$,4.0,326
1277,Italian,Coppola's Ristorante Italiano,$$,4.5,77
1278,Thai,Bangkok Bangkok,$$,3.5,160
1279,Sports Bars,Duffy's Sports Grill,$$,3.5,195
1280,Bars,Duffy's Tavern,$,3.5,121
1281,Greek,My Little Greek Deli,$,4.5,222
1282,Breakfast & Brunch,La Boulangerie Boul'Mich - Coral Way,$$,3.5,207
1283,Steakhouses,Ruth's Chris Steak House,$$$,4.0,190
1284,Italian,Caffe Abbracci,$$$,4.0,175
1285,Breakfast & Brunch,Antigua Guatemala Restaurante,$$,4.0,92
1286,Mediterranean,Shawarma Mediterranean Grill,$$,4.0,131
1287,Colombian,San Pocho,$$,4.0,115
1288,Thai,Royal Thai Food,$$,4.5,53
1289,Juice Bars & Smoothies,Green Berry,$$,4.0,211
1290,Cafes,Le Marché Cafe,$,4.0,68
1291,American (New),BrickTop's,$$,3.5,333
1292,Health Markets,The Honey Tree,$$,4.5,55
1293,American (Traditional),Ms Cheezious,$$,4.0,195
1294,Gluten-Free,Love Life Cafe,$$,4.5,52
1295,Argentine,Graziano's in Brickell,$$,4.0,139
1296,Desserts,The Cheesecake Factory,$$,3.5,202
1297,Bars,Bahama Breeze,$$,3.0,361
1298,Cuban,El Rey De Las Fritas,$,4.0,77
1299,Pizza,PizzaRev,$,4.5,102
1300,Colombian,El Cielo by Juan Manuel Barrientos,$$$$,4.0,105
1301,Italian,La Nonna Italian Restaurant,$,4.0,106
1302,American (New),Mac & Chess,$$,4.5,74
1303,Pizza,Spris Artisan Pizza,$$,4.0,137
1304,Sandwiches,Best Sub & Sandwich Shop,$,4.5,71
1305,Vegetarian,Eden In Eden,$$,4.0,87
1306,Breweries,Titanic Brewery & Restaurant,$$,4.0,326
1307,Italian,Coppola's Ristorante Italiano,$$,4.5,77
1308,Thai,Bangkok Bangkok,$$,3.5,160
1309,Sports Bars,Duffy's Sports Grill,$$,3.5,195
1310,Bars,Duffy's Tavern,$,3.5,121
1311,Greek,My Little Greek Deli,$,4.5,222
1312,Breakfast & Brunch,La Boulangerie Boul'Mich - Coral Way,$$,3.5,207
1313,Steakhouses,Ruth's Chris Steak House,$$$,4.0,190
1314,Italian,Caffe Abbracci,$$$,4.0,175
1315,Breakfast & Brunch,Antigua Guatemala Restaurante,$$,4.0,92
1316,Mediterranean,Shawarma Mediterranean Grill,$$,4.0,131
1317,Colombian,San Pocho,$$,4.0,115
1318,Thai,Royal Thai Food,$$,4.5,53
1319,Juice Bars & Smoothies,Green Berry,$$,4.0,211
1320,Cafes,Le Marché Cafe,$,4.0,68
1321,American (New),BrickTop's,$$,3.5,333
1322,Health Markets,The Honey Tree,$$,4.5,55
1323,American (Traditional),Ms Cheezious,$$,4.0,195
1324,Gluten-Free,Love Life Cafe,$$,4.5,52
1325,Argentine,Graziano's in Brickell,$$,4.0,139
1326,Desserts,The Cheesecake Factory,$$,3.5,202
1327,Bars,Bahama Breeze,$$,3.0,361
1328,Cuban,El Rey De Las Fritas,$,4.0,77
1329,Pizza,PizzaRev,$,4.5,102
1330,French,Palme D'Or,$$$$,4.0,111
1331,Chinese,Red Shallot,$,5.0,154
1332,Vegan,Plant Miami,$$$$,4.5,58
1333,Burgers,Five Guys,$,4.0,103
1334,Coffee & Tea,Madruga Bakery,$$,5.0,93
1335,Breakfast & Brunch,Balans Restaurant & Bar - MiMo,$$,3.5,216
1336,Sandwiches,Sarussi Cafe Subs,$,4.0,77
1337,Pizza,Apizza Brooklyn Resto + Vino,$$,4.5,383
1338,Japanese,Akashi,$$,4.0,380
1339,Sushi Bars,Kone Sushi,$$,3.5,168
1340,Burgers,Al Carbon,$$,3.5,176
1341,Fast Food,Chick-fil-A,$,4.0,69
1342,Bars,Baires Grill Brickell,$$,4.0,104
1343,Argentine,Graziano's in the Gables,$$$,4.0,217
1344,Honduran,Paseo Catracho,$,3.5,133
1345,Tacos,Pilo's Street Tacos,$,4.5,81
1346,Lounges,Blue Martini Lounge,$$,3.0,346
1347,French,La Crepe Bistro,$$,4.0,81
1348,Japanese,Dragonfly Izakaya & Fish Market,$$,4.5,452
1349,Latin American,Casa Juan Restaurant,$$,4.0,130
1350,Colombian,San Pocho,$$,4.0,115
1351,Thai,Royal Thai Food,$$,4.5,53
1352,Cafes,Le Marché Cafe,$,4.0,68
1353,Pizza,PizzaRev,$,4.5,102
1354,Health Markets,The Honey Tree,$$,4.5,55
1355,Chinese,Red Shallot,$,5.0,154
1356,French,Palme D'Or,$$$$,4.0,111
1357,Bars,Bahama Breeze,$$,3.0,361
1358,Coffee & Tea,Madruga Bakery,$$,5.0,93
1359,Gluten-Free,Love Life Cafe,$$,4.5,52
1360,Vegan,Plant Miami,$$$$,4.5,58
1361,Japanese,Akashi,$$,4.0,380
1362,Argentine,Graziano's in Brickell,$$,4.0,139
1363,Pizza,Apizza Brooklyn Resto + Vino,$$,4.5,383
1364,Desserts,The Cheesecake Factory,$$,3.5,202
1365,Cuban,El Rey De Las Fritas,$,4.0,77
1366,Burgers,Five Guys,$,4.0,103
1367,Argentine,Graziano's in the Gables,$$$,4.0,217
1368,Breakfast & Brunch,Balans Restaurant & Bar - MiMo,$$,3.5,216
1369,Sandwiches,Sarussi Cafe Subs,$,4.0,77
