category,name,price,rating,review_count,url,zip
Seafood,Devon Seafood & Steak,$$$,4.0,503,https://www.yelp.com/biz/devon-seafood-and-steak-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33183
Peruvian,Pollos Y Jarras,$$,4.0,470,https://www.yelp.com/biz/pollos-y-jarras-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33132
Sushi Bars,Bali Café,$$,4.5,315,https://www.yelp.com/biz/bali-caf%C3%A9-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33132
Bars,Wood Tavern,$,4.0,577,https://www.yelp.com/biz/wood-tavern-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Italian,NiDo  Caffe,$$,4.5,407,https://www.yelp.com/biz/nido-caffe-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33138
Japanese,Gyu-Kaku Japanese BBQ,$$,4.0,717,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33130
Comfort Food,Ms Cheezious,$$,4.0,432,https://www.yelp.com/biz/ms-cheezious-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33138
Gastropubs,Batch Gastropub,$$,4.0,797,https://www.yelp.com/biz/batch-gastropub-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33130
Peruvian,La Mar by Gaston Acurio,$$$,4.0,456,https://www.yelp.com/biz/la-mar-by-gaston-acurio-miami-5?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Gastropubs,Bulla Gastrobar,$$,4.0,749,https://www.yelp.com/biz/bulla-gastrobar-coral-gables-4?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33134
Latin American,La Patagonia Argentina,$$,4.0,312,https://www.yelp.com/biz/la-patagonia-argentina-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33126
Spanish,Rincon Escondido Tapas,$$,4.5,234,https://www.yelp.com/biz/rincon-escondido-tapas-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
Italian,Vapiano Miami,$$,4.0,353,https://www.yelp.com/biz/vapiano-miami-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Seafood,My Ceviche,$$,4.0,344,https://www.yelp.com/biz/my-ceviche-miami-5?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33143
Desserts,B-Bistro & Bakery,$$,4.5,317,https://www.yelp.com/biz/b-bistro-and-bakery-miami-5?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Sandwiches,Super Subs,$,4.5,191,https://www.yelp.com/biz/super-subs-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33155
Lebanese,Shaddai Fine Lebanese Cuisine,$$,4.5,275,https://www.yelp.com/biz/shaddai-fine-lebanese-cuisine-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33156
Spanish,Xixón Spanish Restaurant,$$,4.0,362,https://www.yelp.com/biz/xix%C3%B3n-spanish-restaurant-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33145
Latin American,Latin House Grill,$$,3.5,762,https://www.yelp.com/biz/latin-house-grill-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33173
Salad,Delirio Fresh,$$,4.5,310,https://www.yelp.com/biz/delirio-fresh-miami-5?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33172
Mediterranean,NOA Cafe,$$,4.5,203,https://www.yelp.com/biz/noa-cafe-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
Pizza,Harry's Pizzeria - Design District,$$,4.0,503,https://www.yelp.com/biz/harrys-pizzeria-design-district-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Sushi Bars,Burrito San,$$,4.5,346,https://www.yelp.com/biz/burrito-san-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Indian,Ghee Indian Kitchen,$$,4.5,230,https://www.yelp.com/biz/ghee-indian-kitchen-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33156
Vegan,Bunnie Cakes,$,4.0,346,https://www.yelp.com/biz/bunnie-cakes-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
